recordist,date,time,location,longitude,latitude,elevation,climate
Jeremy Minns,2004-08-06,08:01,"São Gabriel da Cachoeira, Amazonas",-67.0834,-0.1334,70,tropical
Josh Engel,2013-07-13,07:15,Reserva Biologica do Gurupi,-46.8045,-3.8141,190,tropical
Sidnei de Melo Dantas,2005-11-12,09:00,"Tucuruí dam, right margin of the lake, state of Pará",-49.41194,-4.2327,100,tropical
Sidnei de Melo Dantas,2006-11-20,09:30,"Tucuruí dam, right margin of the lake, state of Pará",-49.41194,-4.2327,70,tropical
Tayler Brooks,2011-08-16,13:45,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,200,tropical
Tayler Brooks,2011-08-16,14:00,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,200,tropical
Alexander Lees,2010-08-05,06:23,"Paragominas, PA, Brazil, Bacia 147 ",-47.177,-2.9187,?,tropical
Alexander Lees,2010-12-02,06:12,"Belterra, Bacia 357, PA",-54.848,-3.372,?,tropical
Andrew Spencer,2009-08-15,18:00,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Andrew Spencer,2009-10-17,10:40,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Andrew Spencer,2009-10-17,10:40,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Andrew Spencer,2009-10-17,10:40,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Bradley Davis,2007-08-01,17:49,"Pousada Rio Azul, PA",-55.986999999999995,-9.2456,220,tropical
Frank Lambert,2004-06-17,?:?,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,240,tropical
GABRIEL LEITE,2011-01-30,07:30,"Manaus, Amazonas",-59.9785,-2.596,100,tropical
GABRIEL LEITE,2011-10-11,06:30,"Porto Velho, Rondônia",-64.4897,-9.2485,100,tropical
Jeremy Minns,1998-12-20,11:10,"São Gabriel da Cachoeira, Amazonas",-67.0834,-0.1334,70,tropical
Jeremy Minns,1999-09-16,05:30,Reserva Extrativista Alto Juruá. Pedra Pintada,-72.7106,-9.3828,230,tropical
Jeremy Minns,1999-09-16,05:35,Reserva Extrativista Alto Juruá. Pedra Pintada,-72.7106,-9.3828,230,tropical
Jeremy Minns,2000-11-23,07:59,Parque Nacional da Amazônia,-56.3001,-4.5167,50,tropical
Jeremy Minns,2000-12-03,07:23,"Porto Grande, AP. Hotel Sonho Meu",-51.4834,0.6834,60,tropical
Jeremy Minns,2003-09-19,06:09,"Reserva Natural Palmarí, Rio Javarí, AM",-70.2948,-4.2889,60,tropical
Jeremy Minns,2003-09-19,06:12,"Reserva Natural Palmarí, Rio Javarí, AM",-70.2948,-4.2889,60,tropical
Jeremy Minns,2005-10-29,06:39,Serra dos Carajás. Grota Funda road,-50.3653,-5.9642,240,tropical
Jeremy Minns,2005-11-08,05:44,Caxiuanã Scientific Station,-51.4556,-1.7375,12,tropical
Sidnei Dantas,2006-08-23,06:15,"Tucuruí dam, right margin of the lake, state of Pará",-49.41194,-4.2327,50,tropical
Sidnei Dantas,2008-08-29,07:00,"Novo Progresso, state of Pará",-55.4834,-7.1501,100,tropical
Alexander Lees,2011-05-20,05:19,"Paragominas, PA, Brazil, Bacia 549",-48.376999999999995,-3.8101,?,tropical
Bradley Davis,2006-04-11,11:00,"Alta Floresta, MT",-56.0981,-9.8781,290,tropical
Christian B. Andretti,2011-07-29,05:30,Almeirim/Pará,-52.653,-1.095,80,tropical
Fabio Olmos,2006-02-15,05:30,"Acailandia, Maranhao state",-48.137,-4.7656,200,tropical
GABRIEL LEITE,2011-01-23,07:00,"Manaus, Amazonas",-59.9292,-2.5992,120,tropical
GABRIEL LEITE,2013-02-01,06:00,"Itaituba, Para",-56.7883,-5.3863,240,tropical
Glauco Kohler,2012-11-13,23:00,"Manaus, Amazonas",-59.9242,-2.6007,130,tropical
Jeremy Minns,2003-04-12,09:45,Pousada Thaimaçu. Rio São Benedito,-56.5834,-9.0501,180,tropical
Jeremy Minns,2005-10-25,08:40,Serra dos Carajás. Grota Funda road,-50.3653,-5.9642,240,tropical
Marcos Melo,2010-07-20,20:10,"Presidente Figueiredo, Amazonas",-59.997,-2.028,50,tropical
Nargila Moura,2010-12-03,05:57,"Belterra, Bacia 357, PA",-54.8478,-3.372,?,tropical
Tayler Brooks,2011-08-16,8:35,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,200,tropical
Alexander Lees,2010-10-30,07:34,"Paragominas, PA, Brazil, Bacia 245",-46.8456,-3.1253,?,tropical
Andrew Spencer,2009-09-17,08:30,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Eric DeFonso,2011-09-21,06:40,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Eric DeFonso,2011-09-21,06:40,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Frank Lambert,2004-03-29,?:?,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,240,tropical
GABRIEL LEITE,2010-06-06,10:00,"Careiro, Amazonas",-59.9304,-3.4915,20,tropical
GABRIEL LEITE,2012-03-03,08:30,"Parauapebas, Para",-50.4382,-6.1242,650,tropical
Josh Engel,2013-07-15,06:30,Reserva Biologica do Gurupi,-46.8045,-3.8141,190,tropical
Nargila Moura,2010-11-29,?,"Bacia 103, Belterra, PA",-54.9289,-2.6719999999999997,?,tropical
Scott Olmstead,2007-08-09,12:00,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Tayler Brooks,2011-09-01,10:20,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,200,tropical
Alexander Lees,2010-10-30,07:35,"Paragominas, PA, Brazil, Bacia 245",-46.8456,-3.1253,?,tropical
Andrew Spencer,2009-09-07,10:20,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Andrew Spencer,2012-10-09,17:20,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Bradley Davis,2006-04-20,06:50,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Eric DeFonso,2011-09-18,16:12,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Eric DeFonso,2011-09-23,07:50,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Frank Lambert,2004-05-03,?:?,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,240,tropical
GABRIEL LEITE,2013-09-26,09:30,"Trairão, Para",-56.0715,-5.3316,110,tropical
Jeremy Minns,1999-09-25,10:05,Reserva Extrativista Alto Juruá. Lago Acuriá,-72.722,-9.0106,225,tropical
Jeremy Minns,2003-04-10,15:58,Pousada Thaimaçu. Rio São Benedito,-56.5834,-9.0501,180,tropical
Jeremy Minns,2003-11-27,10:29,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Jeremy Minns,2005-10-28,14:23,Serra dos Carajás. Rio Itacaiúnas,-50.4834,-5.8667,170,tropical
Tayler Brooks,2011-09-03,07:30,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Adrian Eisen Rupp,2009-09-30,?,"FLONA de Chapecó, Guatambu, Sana Catarina",-52.778,-27.1,573,subtropical
Bernabe Lopez-Lanus,2007-07-07,?:?,"SF de Paula, Rio Grande do Sul",-50.583889,-29.447778000000003,?,subtropical
Frank Lambert,1997-12-17,?:?,"Santa Catarina, near Urubici",-49.58,-27.83,1000,subtropical
Herman van Oosten,2010-08-24,07:08,"Campos do Jordao State Park, Sao Paulo state",-45.5031,-22.6681,1600,tropical
Jeremy Minns,2002-04-02,13:05,"Campos do Jordão, SP",-45.6001,-22.7667,1700,tropical
Jeremy Minns,2002-04-02,13:06,"Campos do Jordão, SP",-45.6001,-22.7667,1700,tropical
Jeremy Minns,2002-04-03,09:37,"Road to Pedra do Baú, Campos do Jordão, SP",-45.6001,-22.7167,1400,tropical
Nick Athanas,2005-05-22,14:00,"Itatiaia NP, RJ",-44.63,-22.38,2050,tropical
Paulo Affonso Fonseca Pires Neto,2013-09-11,16:00,"Palma Sola, Santa Catarina",-53.2885,-26.3247,850,subtropical
Alexandre Bianco,2011-12-01,16:30,"Florianopolis, Santa Catarina",-48.507,-27.4582,10,subtropical
Antonio Silveira,1999-10-00,10am,"Bairro do Guaraú, Peruíbe, São Paulo State",-47.026,-24.375,5,subtropical
Antonio Silveira,2008-11-13,4pm,"Bairro do Guaraú, Peruíbe, São Paulo State",-47.026,-24.375,5,subtropical
Bernabe Lopez-Lanus,2007-05-07,?:?,"Rancho Centaurus, SF de Paula, Rio Grande do Sul",-50.583889,-29.447778000000003,?,subtropical
Bruno Lima,2008-01-31,07:40,"Bairro do Guaraú, Peruíbe-SP",-47.01,-24.3167,0,subtropical
Eduardo Patrial,2008-12-26,09:00,"Reserva Volta Velha, Itapoá, SC",-48.6334,-26.0834,10,subtropical
Evair Legal,2009-12-06,17:30,"Espraiado, Canelinha, Santa Catarina",-48.872,-27.184,140,subtropical
Evair Legal,2010-03-10,?,"Parque Municipal da Lagoa do Peri, Florianópolis, Santa Catarina",-48.516999999999996,-27.717,30,subtropical
Frank Lambert,1997-12-17,?:?,"Santa Catarina, near Urubici",-49.58,-27.83,1000,subtropical
Glauco Kohler,2011-10-02,10:39,"RPPN Chácara Edith, Brusque, Santa Catarina",-48.8887,-27.1017,40,subtropical
Jeremy Minns,2002-11-27,13:16,Sao Francisco de Paula National Forest,-50.4667,-29.4334,900,subtropical
Jeremy Minns,2002-12-01,08:41,"Reserva Volta Velha, Itapoá, SC",-48.6334,-26.0834,10,subtropical
João Gava,2012-09-05,09:30,"Nova Veneza, Santa Catarina, Brazil",-49.49800000000001,-28.638,100,subtropical
Marcos Melo,2009-11-12,08:10,"Miracatu, São Paulo",-47.39100000000001,-24.188000000000002,45,subtropical
Nick Athanas,2008-08-05,14:32,"5 km east of Cambará do Sul, RS",-50.0834,-29.0545,1090,subtropical
Tim Hirsch,2008-11-25,07:30,"Sítio do Cervo, Miracatú-SP",-47.7,-24.383329999999997,50,subtropical
Adrian Eisen Rupp,2009-09-01,?,"Itoupavazinha, Blumenau, Santa Catarina",-49.1067,-26.8537,70,subtropical
Alexandre Bianco,2011-12-12,10:00,"Joinville, Santa Catarina",-48.9527,-26.2692,180,subtropical
Antonio Silveira,1013-10-06,08:00,"Comandatuba Island, Una,Bahia, Brazil",-38.982,-15.355,0,tropical
Antonio Silveira,2013-09-28,10:00,"Instituto Butantan, São Paulo city, São Paulo State",-46.728,-23.565,750,subtropical
Bob Planqué,2005-12-04,16:15,"Parque do Zizo, Sao Paulo State",-47.81044,-24.017146,630,subtropical
Bradley Davis,2004-04-04,?,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Cid Espínola,2011-02-20,13:36,Itapoá - Santa Catarina State,-48.62,-26.114,18,subtropical
Dan Lane,2013-01-14,15:30,"Serra de Baturité, Ceará",-38.9167,-4.2334,800,tropical
Helberth Cardoso,2009-12-19,05:21,"Inhotim, Brumadinho, Minas Gerais State",-44.219091,-20.123894,785,tropical
Jeremy Minns,2000-09-19,08:50,"Transpantaneira south of Pixaim, MT",-56.8448,-16.8248,110,tropical
Jeremy Minns,2001-11-04,06:48,"Camamu, Bahia",-39.1834,-14.01,50,tropical
Jeremy Minns,2001-11-04,06:59,"Camamu, Bahia",-39.1834,-14.01,50,tropical
Jeremy Minns,2001-11-06,08:18,"RPPN Estação Veracel, Porto Seguro, Bahia",-39.139480999999996,-16.345838,80,tropical
Jeremy Minns,2003-09-13,08:15,"Tiradentes, MG",-44.1501,-21.1167,900,tropical
Jeremy Minns,2003-11-10,09:20,Paratí. Patrimônio,-44.7167,-23.3501,50,tropical
Jeremy Minns,2004-03-28,06:32,"Palmeiras, Chapada Diamantina, Bahia.",-41.575699,-12.530434,800,tropical
Leonardo Pimentel,2007-06-04,14:24,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,?,tropical
Marcos Melo,2009-11-02,08:20,"Parque Municipal Nove de Julho, São Paulo, SP   ",-46.717,-23.7192,760,subtropical
Marcos Melo,2010-07-24,07:45,"Presidente Figueiredo, Amazonas",-59.997,-2.028,50,tropical
Marcus Braun,2012-04-21,10:00,"Timbaúba, Pernambuco",-35.3952,-7.6096,440,tropical
Marcus Braun,2012-04-21,10:03,"Timbaúba, Pernambuco",-35.3952,-7.6096,440,tropical
Mauricio Cabral Periquito,2003-08-02,8:00,"Praia do Gamela, Sirinhaém, Pernambuco",-35.0392,-8.6114,0,tropical
Mauricio Cabral Periquito,2006-10-22,8:10,"Praça da Jaqueira, Recife, Pernambuco",-34.904702,-8.036814999999999,0,tropical
Nargila Moura,2010-11-02,07:30,"Paragominas, PA, Brazil, Bacia 423",-47.5039,-3.5189,?,tropical
Noé Eiterer,2011-05-30,09:00,"Viçosa, Minas Gerais",-42.8884,-20.8004,800,tropical
pedroteia,2012-06-12,08:10,Serra Grande-Pão de Açúcar-alagoas-Brasil,-37.412,-9.661,300,tropical
pedrotêia,2013-03-02,07:00,"Pão de Açúcar, Alagoas",-37.4351,-9.7326,90,tropical
Rafael Antunes Dias,2011-06-06,14:00,"Banhado do Maçarico region, Rio Grande, Rio Grande do Sul",-52.261,-32.111,6,subtropical
Rafael Antunes Dias,2011-07-08,16:00,"Banhado do Maçarico region, Rio Grande, Rio Grande do Sul",-52.483000000000004,-32.533,9,subtropical
Rafael Antunes Dias,2011-09-21,08:00,"PARNA da Lagoa do Peixe, Tavares, Rio Grande do Sul",-51.0326,-31.2924,0,subtropical
Rafael Antunes Dias,2011-09-21,08:00,"PARNA da Lagoa do Peixe, Tavares, Rio Grande do Sul",-51.0326,-31.2924,0,subtropical
Antonio Silveira,2006-01-16,10am,"Tiradentes,Minas Gerais State",-44.162,-21.096,950,tropical
Antonio Silveira,2011-01-30,9am,"Comandatuba Island, Una,Bahia, Brazil",-38.982,-15.355,5,tropical
Antonio Silveira,2013-01-31,09:00,"Comandatuba Island, Una,Bahia, Brazil",-38.982,-15.355,0,tropical
Ciro Albano,2006-09-14,11:20,"Serra de Baturité, Ceará",-38.9167,-4.2334,850,tropical
Eric DeFonso,2011-11-15,12:41,"Reserva Ecológica de Guapi Açu (REGUA), RJ",-42.7735,-22.4508,30,tropical
Fernando Fávaro,2008-03-27,08:15,"Rio Novo, ESEC Terra do Meio, Altamira/PA.",-53.6678,-4.4706,157,tropical
GABRIEL LEITE,2011-07-08,11:30,"Alto Alegre do Pindaré, Maranhao",-45.8465,-3.6668,20,tropical
Glauco Alves Pereira,2004-06-19,11:00,"Engenho Santa Fé, Nazaré da Mata, Pernambuco",-35.21307,-7.731914999999999,110,tropical
Leonardo Pimentel,2006-10-30,11:02,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,?,tropical
Marcos Melo,2010-04-21,08:00,"Parque Municipal Nove de Julho, São Paulo, SP   ",-46.717,-23.7192,760,subtropical
Mauricio Cabral Periquito,2003-10-19,14:00,"Engenho Moreno, Água Preta, Pernambuco",-35.533218,-8.706947,50,tropical
Nick Athanas,2005-04-07,16:30,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,30,tropical
Nick Athanas,2005-04-19,09:20,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,30,tropical
pedroteia,2012-04-14,07:05,Riacho do Olho Dagua Mago-Pão de Açúcar-Alagoas-Brasil,-37.435,-9.732000000000001,300,tropical
Ricardo Gagliardi,2005-06-12,06:00,Chico Mendes City Park - RJ,-43.471098,-23.02583,5,tropical
Ricardo Gagliardi,2007-04-15,05:50,Frade - Angra dos Reis - RJ,-44.4334,-22.9612,10,tropical
Ricardo Gagliardi,2008-05-22,15:10,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,30,tropical
Richard C. Hoyer,2006-08-25,13:00,"Quebrangulo, Alagoas",-36.471109999999996,-9.31889,375,tropical
Andrew Spencer,2009-08-08,10:30,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Andrew Spencer,2009-08-18,17:50,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Bradley Davis,2007-07-29,16:48,"Pousada Rio Azul, PA",-55.986999999999995,-9.2456,220,tropical
Bradley Davis,2011-01-26,10:05,"Tapajos National Forest, Bacia 363, Santarém, PA",-54.9978,-3.2939,?,tropical
GABRIEL LEITE,2012-02-14,07:30,"Porto de Moz, Para",-52.3265,-1.9456,40,tropical
GABRIEL LEITE,2013-02-01,07:30,"Itaituba, Para",-56.7554,-5.1894,110,tropical
GABRIEL LEITE,2013-08-23,09:30,"Itaituba, Para",-56.9861,-5.4957,150,tropical
Guilherme R R Brito,2009-06-10,09:30,"Left bank of Rio Teles Pires, Paranaita, Mato Grosso ",-56.9851,-9.2373,190,tropical
Jeremy Minns,2000-11-25,09:49,Tapajós National Forest,-54.9167,-3.4834,170,tropical
Jeremy Minns,2000-11-26,08:15,Tapajós National Forest,-54.9167,-3.4834,170,tropical
Tayler Brooks,2011-08-10,9:55,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,200,tropical
Andrew Spencer,2009-08-18,13:30,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Andrew Spencer,2009-08-26,14:00,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Antonio Silveira,1991-07-00,8:30am,"Abobral river, Corumbá,Mato Grosso do Sul State",-56.978,-19.319000000000006,130,tropical
Bradley Davis,2006-04-19,05:55,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Bradley Davis,2006-04-19,05:55,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Eric DeFonso,2011-09-15,06:05,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Eric DeFonso,2011-09-28,06:13,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Eric DeFonso,2011-09-28,06:13,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
GABRIEL LEITE,2009-11-06,08:00,Estação de Pesquisa do Canguçu - Pium - Tocantins State,-50.0151,-9.9826,180,tropical
Renan Campos de Oliveira,2010-05-18,16:59,Pantanal do Miranda - MS,-57.012,-19.5512,100,tropical
Robson Silva e Silva,2009-05-05,15:40,"Emas National Park, Goias state ",-52.874451,-18.098866,790,tropical
Tayler Brooks,2011-08-09,6:50,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,200,tropical
Tayler Brooks,2011-08-09,6:50,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,200,tropical
Tayler Brooks,2011-09-11,6:30,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,200,tropical
Adrian Eisen Rupp,2007-10-06,6:06,"Gleba maior Reserva Biológica Estadual do Sassafrás, Doutor Pedrinho, Santa Catarina",-49.6756,-26.7117,920,subtropical
Alexandre Bianco,2012-09-27,08:00,"Urussanga, Santa Catarina",-49.3418,-28.524,160,subtropical
Antonio Silveira,1995-10-08,9am,"Hotel Donati, Itatiaia NP, Rio de Janeiro state",-44.6301,-22.3798,950,tropical
Antonio Silveira,2007-09-14,10:00,"Alto Ribeira State Park (PETAR),São Paulo State,Brazil",-48.713,-24.541,600,subtropical
Antonio Silveira,2008-11-06,11am,"Serra de Itapetinga,Atibaia, São Paulo State",-46.534,-23.228,1.100,tropical
Antonio Silveira,2010-10-20,10am,"Botanic Garden of São Paulo, São Paulo State,Brazil",-46.619,-23.639,700,subtropical
Ben Tavener,2012-09-30,16:00,"Estrada da Graciosa, near Curitiba, Paraná",-48.93,-25.339000000000002,1100,subtropical
Brian Campbell,2006-01-23,08:35,"Fz. Bolandeira, Itabuna, Bahia",-39.1506,-14.7951,40,tropical
Caio Brito,2012-08-22,11:00,Ubatuba - Ubatumirim,-45.2167,-23.5001,380,subtropical
Daniel Lane,2006-11-05,10:50,"Estrada da Graciosa, Paraná state",-48.9001,-25.3334,900,subtropical
Dennis Murphy,2010-08-30,11:32,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,?,tropical
Dennis Murphy,2010-09-03,09:10,"Vale das Taquaras, RJ",-42.4653,-22.4062,?,tropical
Don Jones,1997-09-05,?,"Boraceia Biological Station, SP state",-45.8667,-23.6334,?,subtropical
Eduardo Gelli,2007-09-15,17:44,"Três Picos State Park, RJ",-42.760506,-22.342454999999998,?,tropical
GABRIEL LEITE,2011-11-03,09:00,"São Luiz do Paraitinga, São Paulo",-45.1566,-23.3309,1000,tropical
Glauco Kohler,2010-11-14,12:30,"RPPN Prima Luna, Nova Trento, Santa Catarina  ",-49.0201,-27.2578,1100,subtropical
Glauco Kohler,2010-11-14,12:35,"RPPN Prima Luna, Nova Trento, Santa Catarina  ",-49.0201,-27.2578,1100,subtropical
Juha Honkala,2011-11-06,15.30,Intervales State Park. Carmo road,-48.4334,-24.2834,800,subtropical
Leonardo Pimentel,2006-09-20,10:20,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,?,tropical
Leonardo Pimentel,2007-07-23,9:20,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,?,tropical
Marcos Melo,2010-01-25,08:20,"APA da Bacia do Rio Paraíba do Sul - Guarulhos, SP",-46.4058272839247,-23.303893531539305,1050,tropical
Nick Athanas,2008-08-08,08:19,"Reserva Volta Velha, Itapoá, SC",-48.6334,-26.0834,5,subtropical
Noé Eiterer,2013-06-23,07:00,"Araponga, Minas Gerais",-42.5222,-20.6665,950,tropical
Ricardo Gagliardi,2007-08-18,14:00,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,?,tropical
Rodrigo Dela Rosa de Souza,2011-01-02,10:00,"São Luiz do Paraitinga, São Paulo",-45.1648,-23.3178,1000,tropical
Advaldo D. Prado,2007-11-30,08:20,"Goiatins, Cartucho, Tocantins ",-47.7303,-8.3356,190,tropical
Bruno Arantes de Andrade Bueno,2013-01-07,08:30,"Uberlândia, Minas Gerais",-48.2622,-18.9113,850,tropical
Ciro Albano,2004-07-11,?,"Serra do Arapuá, Pernambuco State",-38.7667,-8.3001,550,tropical
Daniel Blamires,2011-08-09,7:30,"Iporá, State of Goiás",-51.120071,-16.445634,650,tropical
Dennis Murphy,2010-09-16,09:30,"Chapada dos Guimarães, north of Cuiabá, MT",-55.7778,-15.4239,?,tropical
Eduardo Patrial,2008-06-18,am,"Passo do Lontra, Pantanal de Miranda, MS",-57.01667,-19.26667,?,tropical
Eric DeFonso,2011-09-01,16:03,"Pantanal Wildlife Center, MT",-56.8764,-16.7581,110,tropical
Eric DeFonso,2011-09-02,11:11,"Pantanal Wildlife Center, MT",-56.8764,-16.7581,110,tropical
Fabio Olmos,2009-05-02,afternoon,"Emas National Park, Goias state",-52.874451,-18.098866,900,tropical
GABRIEL LEITE,2009-11-06,11:30,Estação de Pesquisa do Canguçu - Pium - Tocantins State,-50.0151,-9.9826,180,tropical
GABRIEL LEITE,2010-02-09,10:00,"Palmeiras, Chapada Diamantina, Bahia.",-41.5757,-12.5304,750,tropical
GABRIEL LEITE,2012-11-25,07:30,"Canudos, Bahia",-39.1501,-9.9501,400,tropical
Glauco Alves Pereira,2005-12-24,10:30,"Porteiras, Altinho, Pernambuco",-37.75,-8.3,460,tropical
Guilherme R R Brito,2006-09-29,06:10,"Usina Zillo Lorenzetti - Quatá, Sao Paulo State",-50.7089,-22.2589,550,tropical
Jeremy Minns,1998-12-23,06:16,"Careiro da Várzea, AM. Road from ferry to Manaus",-59.8664,-3.2231,19,tropical
Jeremy Minns,1999-05-09,07:20,"Palmeiras, Chapada Diamantina, Bahia.",-41.575699,-12.530434,800,tropical
Jeremy Minns,1999-05-09,07:25,"Palmeiras, Chapada Diamantina, Bahia.",-41.575699,-12.530434,800,tropical
Jeremy Minns,2000-08-30,05:43,"Agua Fria Road, Chapada dos Guimaraes, MT",-55.61666999999999,-15.1,400,tropical
Jeremy Minns,2003-09-23,05:29,"Reserva Natural Palmarí, Rio Javarí, AM",-70.2948,-4.2889,80,tropical
Joao Menezes,2008-07-12,10:03,"Eldorado, Mato Grosso do Sul state",-54.2537,-23.8501,340,subtropical
Luiz Fernando Figueiredo,0000-00-00,?,"São José da Barra, MG",-46.1334,-20.7084,920,tropical
Marcos Melo,2009-09-25,07:50,"Itu, São Paulo",-47.298889,-23.270681,590,tropical
Mauricio Cabral Periquito,2005-11-06,7:30,"Serra da Passira, Passira, Pernambuco",-35.673294,-7.963528,146,tropical
Nunes D´Acosta,2009-09-24,06:45,"Goiânia, Goiás.",-49.266815,-16.691448,690,tropical
Renan Campos de Oliveira,2009-04-12,10:00,"Sítio Da. Brasilina, Londrina - PR",-51.1845,-23.3853,400,tropical
Ricardo Gagliardi,2009-12-27,06:50,"Turmalina, SP",-50.4548,-20.052,?,tropical
Sidnei S. dos Santos,2010-12-18,7:57,Sento Sé,-41.096000000000004,-9.746,?,tropical
